종목코드,종목명,시장,업종,업종_상세,업종_대분류,종가,거래대금(억원),시가총액(억원),추천매수가,손절가,추천매도가1,추천매도가2,RANK_SCORE,LDY_SCORE,ENTRY_SCORE,ROUTE,REGIME,ret_20d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,TTM_SQUEEZE_CNT,NORM_RR,NORM_T1,NORM_SL,NORM_NEAR,NORM_MOM,NORM_LIQ,NORM_TEC,RSI14,MFI14,이격도,VWAP,VWAP_GAP,캔들패턴,MACD_Hist,MACD_Slope_PCT,거래강도,V_POWER,SUPERTREND_VAL,SUPERTREND_DIR,BB_BW,BB_SQUEEZE_BW,TTM_SQUEEZE,BB_SQUEEZE,Above_MA20,IS_SWING_SUPPORT,ret_5d_%,ret_10d_%,ret_60d_%,EBS,통과,근거,ATR_MULT,추천수량,추천금액(만원),HMA20,HMA_Trend,HMA_On,OBV_Div,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,RR1,Now%,ST_DIR,AI_COMMENT,MKT_BREADTH_ALL_%,MKT_BREADTH_KOSPI_%,MKT_BREADTH_KOSDAQ_%,MKT_TEMP,TOP_SECTORS_5D,REGIME_RANK,LDY_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_초과수익(α)_%
353200,대덕전자,KOSPI,전자부품 제조업,전자부품 제조업,IT/전기전자,46650,303.77,23053.0,46650,43350,52000,57300,80.4,77.3,85.8,↩️ PULL (눌림),① 강한 상승 추세,-7.81,167.34,-11.54,41.98,134.36,2,0.64,0.66,1.0,1.0,0.62,0.23,0.66,50.3,54.0,-2.42,47284,-1.34,,-454.3818,0.1496,0.51,-0.08,41395,1,11.33,0,1,1,0,True,-0.43,-5.76,60.31,5,★,"HMA추세↑, RSI적정, MACD상승, 정배열(단), 장기추세(120↑)",1.8,53,247.2,46540,▲,O,X,5.096923076923077,15.871153846153845,4.0,1.621212121212121,0.0,1,🌪️ 에너지 응축 시작 (2일차). 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 🚀 단기 모멘텀 가속. ,56.1,53.0,59.2,🌤 중립,1.자동차·모빌리티(+15.2%) / 2.조선·기계·설비(+14.9%) / 3.기타(+14.0%) / 4.IT/전기전자(+11.6%) / 5.철강·금속(+10.6%),1,11,20251224,20251224,18.33,6.3,60.31,41.98
007810,코리아써키트,KOSPI,전자부품 제조업,전자부품 제조업,IT/전기전자,37450,193.93,8846.0,37450,34800,43150,48850,80.0,84.0,90.6,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,21.79,233.19,18.06,83.99,200.21,0,0.85,0.88,1.0,1.0,0.74,0.1,0.75,56.5,62.7,2.72,36995,1.23,,-491.2794,0.1592,0.64,0.66,30550,1,26.57,0,0,0,1,False,4.32,-6.14,102.32,7,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입, VWAP상회",2.0,66,247.2,36287,▼,O,X,5.096923076923077,15.871153846153845,4.0,2.150943396226415,0.0,1,💸 자금 유입 지속. 🚀 단기 모멘텀 가속.  (매수 유효),56.1,53.0,59.2,🌤 중립,1.자동차·모빌리티(+15.2%) / 2.조선·기계·설비(+14.9%) / 3.기타(+14.0%) / 4.IT/전기전자(+11.6%) / 5.철강·금속(+10.6%),1,12,20251224,20251224,18.33,6.3,102.32,83.99
097230,HJ중공업,KOSPI,토목 건설업,토목 건설업,건설·부동산,22200,452.7,20045.6,22200,20600,24900,27550,79.8,68.7,80.4,↩️ PULL (눌림),⑤ 하락 / 약세,6.47,181.73,2.74,-42.04,148.75,1,0.66,0.7,1.0,1.0,0.31,0.39,0.77,52.1,50.0,0.08,22430,-1.03,,106.9357,-0.0343,1.23,0.09,24913,-1,15.17,0,1,1,1,False,3.26,-1.11,-23.71,5,★,"RSI적정, 20선근접, 거래량↑, 장기추세(120↑), MACD>Sig",1.8,112,248.6,22229,▼,X,X,0.12499999999999997,2.79,13.0,1.6875,0.0,-1,🌪️ 에너지 응축 시작 (1일차). 📉 매도세 우위. ✅ 20일선 눌림목 구간.,56.1,53.0,59.2,🌤 중립,1.자동차·모빌리티(+15.2%) / 2.조선·기계·설비(+14.9%) / 3.기타(+14.0%) / 4.IT/전기전자(+11.6%) / 5.철강·금속(+10.6%),5,13,20251224,20251224,18.33,6.3,-23.71,-42.04
128940,한미약품,KOSPI,의약품 제조업,의약품 제조업,바이오·의약품,440500,256.67,56432.4,440500,409500,487000,533000,79.6,70.1,79.2,🔺 Watch (상승 준비),④ 바닥 반등 시도,-3.29,53.48,-7.02,-6.24,20.5,8,0.59,0.61,1.0,1.0,0.37,0.17,0.73,57.4,62.6,0.48,439870,0.14,,-1074.7369,0.0637,0.63,-1.16,404850,1,8.56,1,1,1,1,True,1.38,1.61,12.09,7,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입, VWAP상회",1.8,5,220.2,440563,▲,X,X,-1.5290000000000001,5.243,12.0,1.5,0.0,1,🌪️ 8일 연속 응축 중! 폭발 임박. 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간.,56.1,53.0,59.2,🌤 중립,1.자동차·모빌리티(+15.2%) / 2.조선·기계·설비(+14.9%) / 3.기타(+14.0%) / 4.IT/전기전자(+11.6%) / 5.철강·금속(+10.6%),4,14,20251224,20251224,18.33,6.3,12.09,-6.24
000650,천일고속,KOSPI,육상 여객 운송업,육상 여객 운송업,기타,368000,2624.65,5259.5,368000,331000,593000,818000,78.3,87.4,85.7,↩️ PULL (눌림),② 상승 후 조정,162.48,759.81,158.75,795.96,726.83,0,1.0,1.0,0.35,1.0,0.61,1.0,0.5,49.2,69.4,2.67,353134,4.21,,-16362.0152,-1.3427,2.59,0.27,179500,1,84.87,0,0,0,1,False,-15.21,1.8,814.29,7,★,"RSI적정, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입, VWAP상회",2.5,5,184.0,378555,▼,X,X,3.1292857142857144,21.218367346938777,3.0,6.081081081081081,0.0,1,📉 매도세 우위. 💸 자금 유입 지속.  (매수 유효),56.1,53.0,59.2,🌤 중립,1.자동차·모빌리티(+15.2%) / 2.조선·기계·설비(+14.9%) / 3.기타(+14.0%) / 4.IT/전기전자(+11.6%) / 5.철강·금속(+10.6%),2,15,20251224,20251224,18.33,6.3,814.29,795.96
003490,대한항공,KOSPI,항공 여객 운송업,항공 여객 운송업,기타,23000,702.95,84690.8,23000,21500,26500,30000,78.0,89.1,84.2,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,5.99,0.44,2.26,-18.55,-32.54,0,0.92,0.88,0.97,1.0,0.37,0.67,0.62,59.5,60.4,3.06,22708,1.28,,81.5311,0.0763,2.52,1.22,21515,1,5.98,1,0,0,1,False,3.6,3.6,-0.22,8,★,"HMA추세↑, RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 자금유입, MACD>Sig, VWAP상회",2.5,108,248.4,22578,▲,O,X,3.1292857142857144,21.218367346938777,3.0,2.3333333333333335,0.0,1,🔇 변동성 축소 (BW 6.0%). 💸 자금 유입 지속. 🚀 단기 모멘텀 가속.  (매수 유효),56.1,53.0,59.2,🌤 중립,1.자동차·모빌리티(+15.2%) / 2.조선·기계·설비(+14.9%) / 3.기타(+14.0%) / 4.IT/전기전자(+11.6%) / 5.철강·금속(+10.6%),4,16,20251224,20251224,18.33,6.3,-0.22,-18.55
090360,로보스타,KOSDAQ,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,79300,392.52,7731.8,78000,72500,89900,101800,77.8,77.9,76.4,🔥 SQZ (폭발대기),⑤ 하락 / 약세,23.91,177.76,19.59,48.58,160.98,1,0.61,0.77,1.0,0.6,0.7,0.32,0.76,48.4,67.5,4.67,77096,2.86,,35.127,0.163,0.63,1.12,64260,1,21.74,0,1,1,1,False,9.68,3.39,54.88,9,★,"HMA추세↑, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입, MACD>Sig, VWAP상회",1.8,32,249.6,76261,▲,O,X,7.873818181818182,19.66090909090909,2.0,1.5588235294117647,1.6666666666666667,1,🌪️ 에너지 응축 시작 (1일차). 💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ,56.1,53.0,59.2,🌤 중립,1.자동차·모빌리티(+15.2%) / 2.조선·기계·설비(+14.9%) / 3.기타(+14.0%) / 4.IT/전기전자(+11.6%) / 5.철강·금속(+10.6%),5,17,20251224,20251224,18.33,6.3,54.88,48.58
000990,DB하이텍,KOSPI,반도체 제조업,반도체 제조업,반도체,68500,129.28,29800.6,67700,62900,77200,86600,77.5,71.3,74.7,🔥 SQZ (폭발대기),③ 박스 / 중립,10.66,46.68,6.93,-0.23,13.7,8,0.61,0.73,1.0,0.72,0.47,0.03,0.81,62.9,80.6,4.22,67089,2.1,,165.6759,0.1887,0.52,1.6,61600,1,9.89,1,1,1,1,False,4.58,3.47,18.1,9,★,"HMA추세↑, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입, MACD>Sig, VWAP상회",1.8,36,243.7,67015,▲,O,X,0.8836363636363637,13.122727272727273,6.0,1.5535714285714286,1.1816838995568686,1,🌪️ 8일 연속 응축 중! 폭발 임박. 💪 매수세 장악(Power Buying). 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ,56.1,53.0,59.2,🌤 중립,1.자동차·모빌리티(+15.2%) / 2.조선·기계·설비(+14.9%) / 3.기타(+14.0%) / 4.IT/전기전자(+11.6%) / 5.철강·금속(+10.6%),3,18,20251224,20251224,18.33,6.3,18.1,-0.23
204320,HL만도,KOSPI,자동차 신품 부품 제조업,자동차 신품 부품 제조업,자동차·모빌리티,54300,506.18,25497.7,54300,50400,62400,70500,77.2,85.3,84.7,🔺 Watch (상승 준비),① 강한 상승 추세,28.22,61.13,24.49,38.15,28.15,0,0.82,0.86,1.0,1.0,0.49,0.45,0.67,50.4,53.1,2.62,53998,0.56,,-481.5925,0.0155,0.58,-0.12,47000,1,27.27,0,0,0,1,False,1.12,-1.27,56.48,8,★,"HMA추세↑, HMA돌파, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), VWAP상회",2.0,46,249.8,53470,▲,O,X,4.682142857142857,22.12857142857143,1.0,2.076923076923077,0.0,1,📉 매도세 우위. 📈 상승 모멘텀 개선.  (매수 유효),56.1,53.0,59.2,🌤 중립,1.자동차·모빌리티(+15.2%) / 2.조선·기계·설비(+14.9%) / 3.기타(+14.0%) / 4.IT/전기전자(+11.6%) / 5.철강·금속(+10.6%),1,19,20251224,20251224,18.33,6.3,56.48,38.15
042700,한미반도체,KOSPI,특수 목적용 기계 제조업,특수 목적용 기계 제조업,반도체,124600,1466.7,118759.0,124500,115800,142000,159400,77.1,86.8,83.7,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,-3.04,28.85,-6.77,11.19,-4.13,0,0.78,0.8,1.0,0.98,0.53,1.0,0.77,63.9,71.8,3.06,124145,0.37,,955.7056,0.2765,1.22,0.68,130310,-1,10.84,0,0,0,1,False,3.92,2.89,29.52,9,★,"HMA추세↑, RSI적정, MACD상승, 20선근접, 거래량↑, 장기추세(120↑), 자금유입, MACD>Sig, VWAP상회",1.8,20,249.0,121117,▲,O,X,0.8836363636363637,13.122727272727273,6.0,1.9772727272727273,0.08032128514056225,-1,💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속.  (매수 유효),56.1,53.0,59.2,🌤 중립,1.자동차·모빌리티(+15.2%) / 2.조선·기계·설비(+14.9%) / 3.기타(+14.0%) / 4.IT/전기전자(+11.6%) / 5.철강·금속(+10.6%),1,20,20251224,20251224,18.33,6.3,29.52,11.19
332570,PS일렉트로닉스,KOSDAQ,전자부품 제조업,전자부품 제조업,IT/전기전자,5200,101.51,2277.1,5200,4835,5930,6660,76.2,69.7,73.3,↩️ PULL (눌림),⑤ 하락 / 약세,17.25,61.49,12.93,-26.55,44.71,1,0.79,0.81,1.0,1.0,0.27,0.0,0.7,51.9,62.5,1.98,5176,0.45,,17.0063,-0.0122,1.33,-0.05,4517,1,15.84,0,1,1,1,False,1.36,2.36,-20.25,9,★,"HMA추세↑, HMA돌파, RSI적정, 20선근접, 거래량↑, 장기추세(120↑), 자금유입, MACD>Sig, VWAP상회",1.8,480,249.6,5121,▲,O,X,5.096923076923077,15.871153846153845,4.0,2.0,0.0,1,🌪️ 에너지 응축 시작 (1일차). 📉 매도세 우위. 💸 자금 유입 지속. ✅ 20일선 눌림목 구간.,56.1,53.0,59.2,🌤 중립,1.자동차·모빌리티(+15.2%) / 2.조선·기계·설비(+14.9%) / 3.기타(+14.0%) / 4.IT/전기전자(+11.6%) / 5.철강·금속(+10.6%),5,21,20251224,20251224,18.33,6.3,-20.25,-26.55
460940,피앤에스로보틱스,KOSDAQ,의료용 기기 제조업,의료용 기기 제조업,기타,11690,67.06,1535.1,11690,10870,14050,16410,75.9,74.2,79.2,↩️ PULL (눌림),② 상승 후 조정,-3.87,50.16,-8.19,46.81,33.38,7,1.0,1.0,1.0,1.0,0.26,0.0,0.56,39.8,66.6,-5.01,12201,-4.2,,-179.6607,-0.1168,0.29,-1.01,9961,1,18.74,0,1,1,0,True,-5.95,1.56,53.11,5,★,"OBV매집, 정배열(단), 장기추세(120↑), 자금유입",1.8,213,249.0,12219,▼,X,O,3.1292857142857144,21.218367346938777,3.0,2.8780487804878048,0.0,1,🌪️ 7일 연속 응축 중! 폭발 임박. 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 💸 자금 유입 지속. 📉 과매도 기술적 반등 기대.,56.1,53.0,59.2,🌤 중립,1.자동차·모빌리티(+15.2%) / 2.조선·기계·설비(+14.9%) / 3.기타(+14.0%) / 4.IT/전기전자(+11.6%) / 5.철강·금속(+10.6%),2,22,20251224,20251224,18.33,6.3,53.11,46.81
082740,한화엔진,KOSPI,일반 목적용 기계 제조업,일반 목적용 기계 제조업,조선·기계·설비,44700,1332.79,37300.9,44700,40200,55500,66200,75.8,84.8,82.4,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,2.05,59.64,-1.68,-16.97,26.66,0,0.94,1.0,0.35,1.0,0.5,1.0,0.43,55.4,64.2,2.75,44171,1.2,,160.3185,0.2572,2.81,-0.51,46545,-1,15.68,0,0,0,1,False,7.45,-1.76,1.36,9,★,"HMA추세↑, RSI적정, MACD상승, 20선근접, 거래량↑, 장기추세(120↑), 자금유입, MACD>Sig, VWAP상회",2.5,44,196.7,42715,▲,O,X,7.873818181818182,19.66090909090909,2.0,2.4,0.0,-1,📉 매도세 우위. 💸 자금 유입 지속. 🚀 단기 모멘텀 가속.  (매수 유효),56.1,53.0,59.2,🌤 중립,1.자동차·모빌리티(+15.2%) / 2.조선·기계·설비(+14.9%) / 3.기타(+14.0%) / 4.IT/전기전자(+11.6%) / 5.철강·금속(+10.6%),4,23,20251224,20251224,18.33,6.3,1.36,-16.97
