종목코드,종목명,시장,업종,업종_상세,업종_대분류,종가,거래대금(억원),시가총액(억원),추천매수가,손절가,추천매도가1,추천매도가2,RANK_SCORE,LDY_SCORE,ENTRY_SCORE,ROUTE,REGIME,ret_20d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,TTM_SQUEEZE_CNT,NORM_RR,NORM_T1,NORM_SL,NORM_NEAR,NORM_MOM,NORM_LIQ,NORM_TEC,RSI14,MFI14,이격도,MACD_Hist,MACD_Slope_PCT,거래강도,V_POWER,BB_BW,BB_SQUEEZE_BW,TTM_SQUEEZE,BB_SQUEEZE,Above_MA20,IS_SWING_SUPPORT,ret_5d_%,ret_10d_%,ret_60d_%,EBS,통과,근거,ATR_MULT,SECTOR_RET_5D,SECTOR_RANK,RR1,Now%,AI_COMMENT,MKT_BREADTH_ALL_%,MKT_BREADTH_KOSPI_%,MKT_BREADTH_KOSDAQ_%,MKT_TEMP,TOP_SECTORS_5D,REGIME_RANK,LDY_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_초과수익(α)_%
381620,제닉스로보틱스,KOSDAQ,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,15720,104.31,2062.1,15660,14560,17310,18950,83.2,65.0,88.5,🔺 Watch (상승 준비),③ 박스 / 중립,-0.82,108.49,-4.83,-0.09,89.88,5,1.0,1.0,1.0,0.96,0.29,0.01,0.69,62.2,76.7,3.39,9.0289,-0.0218,0.58,0.24,17.41,0,1,1,1,False,-1.01,2.81,10.01,6,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입, MACD>Sig",1.8,4.067833333333334,8.0,1.3706896551724137,0.38314176245210724,🌪️ 5일 연속 응축 중! 폭발 임박. 📉 매도세 우위. 💰 외국인/기관 수급 집중. ,76.2,70.6,82.1,🔥 과열,1.유통·소비재(+13.1%) / 2.철강·금속(+12.1%) / 3.기타(+9.8%) / 4.IT/전기전자(+6.2%) / 5.건설·부동산(+6.0%),3,11,20251215,20251215,20.05,10.1,10.01,-0.09
010060,OCI홀딩스,KOSPI,기타 금융업,기타 금융업,금융,105500,270.72,19697.1,105500,94900,121400,137200,82.8,67.3,86.6,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,-5.97,45.92,-6.0,-14.76,10.55,1,1.0,1.0,0.36,1.0,0.45,0.19,0.55,60.8,51.2,2.75,184.2973,0.2078,2.58,0.68,10.96,0,1,1,1,False,6.57,4.25,5.29,6,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 장기추세(120↑), MACD>Sig",2.5,2.128108108108108,10.0,1.5,0.0,🌪️ 에너지 응축 시작 (1일차). 🚀 단기 모멘텀 가속. ,76.2,70.6,82.1,🔥 과열,1.유통·소비재(+13.1%) / 2.철강·금속(+12.1%) / 3.기타(+9.8%) / 4.IT/전기전자(+6.2%) / 5.건설·부동산(+6.0%),4,12,20251215,20251215,20.05,10.1,5.29,-14.76
240810,원익IPS,KOSDAQ,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,60400,165.19,29646.7,60400,56100,65500,70600,82.4,72.9,91.9,🔁 MR (반전),① 강한 상승 추세,-8.76,131.86,-12.77,24.12,113.25,3,0.97,0.88,1.0,1.0,0.49,0.07,0.72,51.8,48.7,-1.15,-194.4338,0.0399,0.65,-0.31,8.84,1,1,1,0,True,-2.27,-1.79,34.22,4,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑)",1.8,4.067833333333334,8.0,1.186046511627907,0.0,🌪️ 에너지 응축 시작 (3일차). 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간.,76.2,70.6,82.1,🔥 과열,1.유통·소비재(+13.1%) / 2.철강·금속(+12.1%) / 3.기타(+9.8%) / 4.IT/전기전자(+6.2%) / 5.건설·부동산(+6.0%),1,13,20251215,20251215,20.05,10.1,34.22,24.12
042700,한미반도체,KOSPI,특수 목적용 기계 제조업,특수 목적용 기계 제조업,반도체,118500,640.71,112945.0,118500,110200,128500,138500,82.0,75.6,89.7,🔁 MR (반전),⑤ 하락 / 약세,-10.43,27.42,-10.46,10.03,-7.95,5,0.99,0.88,1.0,1.0,0.37,0.61,0.68,47.4,60.4,-2.25,-126.7165,0.0621,0.55,-0.56,8.26,1,1,1,0,True,-2.39,-2.63,30.08,4,★,"RSI적정, MACD상승, 장기추세(120↑), 자금유입",1.8,-2.9254545454545453,15.0,1.2048192771084338,0.0,🌪️ 5일 연속 응축 중! 폭발 임박. 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ,76.2,70.6,82.1,🔥 과열,1.유통·소비재(+13.1%) / 2.철강·금속(+12.1%) / 3.기타(+9.8%) / 4.IT/전기전자(+6.2%) / 5.건설·부동산(+6.0%),5,14,20251215,20251215,20.05,10.1,30.08,10.03
006800,미래에셋증권,KOSPI,금융 지원 서비스업,금융 지원 서비스업,서비스 기타,21450,527.57,122332.9,21450,19940,23300,25100,81.7,75.1,89.4,🔁 MR (반전),④ 바닥 반등 시도,-6.94,9.83,-6.97,-26.18,-25.54,3,1.0,0.89,1.0,1.0,0.33,0.48,0.74,54.1,55.7,-1.55,14.9819,0.0554,0.82,-1.11,7.6,1,1,1,0,True,-2.05,-2.05,-6.13,4,★,"RSI적정, MACD상승, 장기추세(120↑), MACD>Sig",1.8,2.22421052631579,9.0,1.2251655629139073,0.0,🌪️ 에너지 응축 시작 (3일차). 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간.,76.2,70.6,82.1,🔥 과열,1.유통·소비재(+13.1%) / 2.철강·금속(+12.1%) / 3.기타(+9.8%) / 4.IT/전기전자(+6.2%) / 5.건설·부동산(+6.0%),4,15,20251215,20251215,20.05,10.1,-6.13,-26.18
068270,셀트리온,KOSPI,기초 의약물질 제조업,기초 의약물질 제조업,바이오·의약품,187800,970.51,433744.7,187800,179200,198100,208500,80.7,72.2,80.1,🔺 Watch (상승 준비),④ 바닥 반등 시도,-1.11,15.78,-1.14,-9.58,-19.59,3,0.98,0.57,0.52,1.0,0.32,0.99,0.75,63.7,58.6,1.34,-86.9878,0.0241,0.84,0.04,4.03,1,1,1,1,True,0.37,1.08,10.47,5,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",1.8,5.040434782608696,7.0,1.197674418604651,0.0,🌪️ 에너지 응축 시작 (3일차). 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간.,76.2,70.6,82.1,🔥 과열,1.유통·소비재(+13.1%) / 2.철강·금속(+12.1%) / 3.기타(+9.8%) / 4.IT/전기전자(+6.2%) / 5.건설·부동산(+6.0%),4,16,20251215,20251215,20.05,10.1,10.47,-9.58
071050,한국금융지주,KOSPI,기타 금융업,기타 금융업,금융,160000,380.82,89161.6,160000,148800,173500,186900,80.2,71.8,88.4,↩️ PULL (눌림),④ 바닥 반등 시도,-3.15,21.3,-3.18,-19.42,-14.07,1,0.99,0.88,1.0,1.0,0.31,0.32,0.8,55.9,44.4,-0.13,54.3056,0.0059,1.01,-0.97,9.22,1,1,1,0,True,-1.96,0.44,0.63,5,★,"RSI적정, MACD상승, 20선근접, 장기추세(120↑), MACD>Sig",1.8,2.128108108108108,10.0,1.2053571428571428,0.0,🌪️ 에너지 응축 시작 (1일차). 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 📈 상승 모멘텀 개선. ✅ 20일선 눌림목 구간.,76.2,70.6,82.1,🔥 과열,1.유통·소비재(+13.1%) / 2.철강·금속(+12.1%) / 3.기타(+9.8%) / 4.IT/전기전자(+6.2%) / 5.건설·부동산(+6.0%),4,17,20251215,20251215,20.05,10.1,0.63,-19.42
222800,심텍,KOSDAQ,전자부품 제조업,전자부품 제조업,IT/전기전자,50200,337.01,18631.5,50200,46650,54500,58700,79.4,68.2,88.9,↩️ PULL (눌림),② 상승 후 조정,-10.2,104.9,-14.21,47.51,86.29,8,0.99,0.89,1.0,1.0,0.32,0.27,0.63,45.8,53.2,-6.38,-405.1297,-0.1998,0.71,-1.84,16.57,0,1,1,0,True,-11.15,-4.2,57.61,3,,"RSI적정, 정배열(단), 장기추세(120↑)",1.8,6.214821428571428,4.0,1.2112676056338028,0.0,🌪️ 8일 연속 응축 중! 폭발 임박. 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 📉 과매도 기술적 반등 기대.,76.2,70.6,82.1,🔥 과열,1.유통·소비재(+13.1%) / 2.철강·금속(+12.1%) / 3.기타(+9.8%) / 4.IT/전기전자(+6.2%) / 5.건설·부동산(+6.0%),2,18,20251215,20251215,20.05,10.1,57.61,47.51
000660,SK하이닉스,KOSPI,반도체 제조업,반도체 제조업,반도체,554000,13678.28,4033133.1,554000,515000,601000,648000,79.2,83.8,89.2,🔁 MR (반전),① 강한 상승 추세,-8.58,115.56,-8.61,47.32,80.19,0,0.99,0.88,1.0,1.0,0.54,1.0,0.78,59.0,40.8,0.59,-1303.8995,0.0336,0.66,0.51,15.03,0,0,0,1,True,-3.99,2.97,67.37,5,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",2.0,-2.9254545454545453,15.0,1.205128205128205,0.0,🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간. (매수 유효),76.2,70.6,82.1,🔥 과열,1.유통·소비재(+13.1%) / 2.철강·금속(+12.1%) / 3.기타(+9.8%) / 4.IT/전기전자(+6.2%) / 5.건설·부동산(+6.0%),1,19,20251215,20251215,20.05,10.1,67.37,47.32
267260,HD현대일렉트릭,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",인프라·에너지,830000,1031.39,299191.2,830000,771000,918000,1005000,79.0,83.4,89.0,↩️ PULL (눌림),① 강한 상승 추세,-1.19,76.6,-1.22,19.68,41.23,0,1.0,1.0,1.0,1.0,0.45,1.0,0.71,59.1,70.8,2.98,2731.5365,0.0318,0.8,-0.5,17.8,0,0,0,1,False,-1.43,11.26,39.73,7,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입, MACD>Sig",2.0,-3.310909090909091,16.0,1.4915254237288136,0.0,📉 매도세 우위. 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속.  (매수 유효),76.2,70.6,82.1,🔥 과열,1.유통·소비재(+13.1%) / 2.철강·금속(+12.1%) / 3.기타(+9.8%) / 4.IT/전기전자(+6.2%) / 5.건설·부동산(+6.0%),1,20,20251215,20251215,20.05,10.1,39.73,19.68
000150,두산,KOSPI,기타 금융업,기타 금융업,금융,846000,866.18,136999.8,846000,786000,918000,989000,78.5,71.6,85.5,↩️ PULL (눌림),② 상승 후 조정,-13.23,39.83,-13.26,17.07,4.46,3,0.98,0.88,1.0,1.0,0.16,0.87,0.7,52.2,33.2,-3.56,-7829.4105,-0.0682,0.83,-0.49,13.94,0,1,1,0,True,-4.94,1.56,37.12,3,,"RSI적정, 정배열(단), 장기추세(120↑)",1.8,2.128108108108108,10.0,1.2,0.0,🌪️ 에너지 응축 시작 (3일차). 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. ,76.2,70.6,82.1,🔥 과열,1.유통·소비재(+13.1%) / 2.철강·금속(+12.1%) / 3.기타(+9.8%) / 4.IT/전기전자(+6.2%) / 5.건설·부동산(+6.0%),2,21,20251215,20251215,20.05,10.1,37.12,17.07
034020,두산에너빌리티,KOSPI,일반 목적용 기계 제조업,일반 목적용 기계 제조업,조선·기계·설비,77100,3312.37,493872.6,77100,71700,85200,93300,78.2,84.2,87.3,🔺 Watch (상승 준비),① 강한 상승 추세,-2.16,28.07,-2.19,11.07,-7.3,0,1.0,1.0,1.0,1.0,0.36,1.0,0.8,58.3,61.8,0.74,132.5473,0.031,1.12,0.36,11.29,0,0,0,1,True,0.39,2.94,31.12,7,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입, MACD>Sig",1.8,4.067833333333334,8.0,1.5,0.0,🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간. (매수 유효),76.2,70.6,82.1,🔥 과열,1.유통·소비재(+13.1%) / 2.철강·금속(+12.1%) / 3.기타(+9.8%) / 4.IT/전기전자(+6.2%) / 5.건설·부동산(+6.0%),1,22,20251215,20251215,20.05,10.1,31.12,11.07
373220,LG에너지솔루션,KOSPI,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2차전지,442500,852.05,1035450.0,442500,411500,489000,536000,77.5,80.2,88.1,↩️ PULL (눌림),③ 박스 / 중립,-4.43,45.08,-4.46,4.42,9.71,0,1.0,1.0,1.0,1.0,0.4,0.85,0.67,61.0,52.2,2.83,2297.4143,0.0955,0.57,-0.3,13.56,0,0,0,1,False,-1.99,7.14,24.47,6,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), MACD>Sig",2.0,1.1777777777777778,11.0,1.5,0.0,📉 매도세 우위. 🚀 단기 모멘텀 가속.  (매수 유효),76.2,70.6,82.1,🔥 과열,1.유통·소비재(+13.1%) / 2.철강·금속(+12.1%) / 3.기타(+9.8%) / 4.IT/전기전자(+6.2%) / 5.건설·부동산(+6.0%),3,23,20251215,20251215,20.05,10.1,24.47,4.42
023530,롯데쇼핑,KOSPI,종합 소매업,종합 소매업,유통·소비재,75700,91.09,21414.6,75400,70200,83000,90600,77.3,64.6,78.0,🔻 REV (역추세 반등),④ 바닥 반등 시도,3.56,0.93,3.53,-11.91,-34.44,3,1.0,1.0,1.0,0.96,0.26,0.0,0.82,66.2,74.3,3.47,5.0871,0.0704,1.38,1.61,8.41,1,1,1,1,False,4.56,2.99,8.14,7,★,"MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입, MACD>Sig",1.8,13.071875,1.0,1.3272727272727274,0.3978779840848806,🌪️ 에너지 응축 시작 (3일차). 💪 매수세 장악(Power Buying). 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ,76.2,70.6,82.1,🔥 과열,1.유통·소비재(+13.1%) / 2.철강·금속(+12.1%) / 3.기타(+9.8%) / 4.IT/전기전자(+6.2%) / 5.건설·부동산(+6.0%),4,24,20251215,20251215,20.05,10.1,8.14,-11.91
004800,효성,KOSPI,기타 금융업,기타 금융업,금융,127800,107.74,21394.2,127800,118800,138600,149300,76.9,61.4,88.2,↩️ PULL (눌림),② 상승 후 조정,-9.36,90.46,-9.39,15.91,55.09,4,0.98,0.88,1.0,1.0,0.3,0.01,0.64,48.2,43.1,-3.04,-1068.1702,-0.1481,1.62,-1.92,13.67,0,1,1,0,True,-6.72,0.79,35.96,4,★,"RSI적정, 거래량↑, 정배열(단), 장기추세(120↑)",1.8,2.128108108108108,10.0,1.2,0.0,🌪️ 에너지 응축 시작 (4일차). 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. ,76.2,70.6,82.1,🔥 과열,1.유통·소비재(+13.1%) / 2.철강·금속(+12.1%) / 3.기타(+9.8%) / 4.IT/전기전자(+6.2%) / 5.건설·부동산(+6.0%),2,25,20251215,20251215,20.05,10.1,35.96,15.91
034730,SK,KOSPI,기타 금융업,기타 금융업,금융,259000,362.71,187782.0,259000,240500,281000,303000,76.8,64.4,86.3,↩️ PULL (눌림),⑤ 하락 / 약세,-3.36,31.67,-3.39,-8.89,-3.7,4,0.98,0.88,1.0,1.0,0.21,0.3,0.74,56.3,57.4,-0.52,-838.744,-0.104,0.7,-0.91,11.0,0,1,1,0,True,-3.54,2.37,11.16,4,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑)",1.8,2.128108108108108,10.0,1.1891891891891893,0.0,🌪️ 에너지 응축 시작 (4일차). 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. ✅ 20일선 눌림목 구간.,76.2,70.6,82.1,🔥 과열,1.유통·소비재(+13.1%) / 2.철강·금속(+12.1%) / 3.기타(+9.8%) / 4.IT/전기전자(+6.2%) / 5.건설·부동산(+6.0%),5,26,20251215,20251215,20.05,10.1,11.16,-8.89
